Student_Id,total_answers,answered_questions,unanswered_questions,avg_points,max_points,min_points,std_points,easy,hard,medium,easy_avg_score,hard_avg_score,medium_avg_score,Total Score
 Candidate 301,20,20,0,0.625,1.5,0.25,0.3294732638302346,13,1,6,0.4807692307692308,0.75,0.9166666666666666,12.5
 Candidate 302,25,25,0,0.57,1.5,0.0,0.41758232721225164,13,0,12,0.3807692307692308,0.0,0.775,14.25
 Candidate 303,31,31,0,0.55,1.5,0.0,0.44271887242357316,19,0,12,0.4342105263157895,0.0,0.7333333333333334,17.05
 Candidate 304,31,31,0,0.5274193548387097,1.0,0.0,0.28601827146688236,19,0,12,0.4342105263157895,0.0,0.6749999999999999,16.35
 Candidate 306,29,29,2,0.7225806451612903,2.0,0.0,0.580206674337892,15,3,13,0.4166666666666667,1.25,0.9538461538461539,22.4
 Candidate 307,31,31,0,0.5661290322580645,2.25,0.0,0.48069170590830074,20,3,8,0.3975,1.5,0.6375,17.55
 Candidate 308,31,31,0,0.6499999999999999,2.25,0.0,0.6123724356957945,14,4,13,0.48214285714285715,1.875,0.4538461538461539,20.15
 Candidate 310,31,31,0,0.5548387096774193,2.25,0.0,0.48033926182606906,18,2,11,0.4138888888888889,1.875,0.5454545454545454,17.2
 Candidate 311,31,31,0,0.7129032258064517,1.5,0.0,0.4086497567060501,16,2,13,0.546875,1.125,0.8538461538461538,22.1
 Candidate 313,31,31,0,0.6661290322580645,2.25,0.0,0.5795669499396644,18,4,9,0.4972222222222222,1.5,0.6333333333333333,20.65
 Candidate 314,30,30,1,0.6964516129032258,2.0,0.0,0.5825721608355872,16,1,14,0.371875,1.5,1.01,21.59
 Candidate 315,31,31,0,0.5693548387096774,1.5,0.0,0.43963572408583124,19,2,10,0.47368421052631576,1.125,0.64,17.65
 Candidate 316,31,31,0,0.5935483870967742,1.5,0.0,0.36962637340154514,17,1,13,0.48235294117647054,1.5,0.6692307692307692,18.4
 Candidate 317,31,31,0,0.5661290322580645,1.5,0.0,0.43096540788756926,17,1,13,0.39705882352941174,1.5,0.7153846153846154,17.55
 Candidate 318,30,30,1,0.6645161290322581,2.0,0.0,0.46371570823567765,18,2,11,0.5,1.5,0.7818181818181817,20.6
 Candidate 319,31,31,0,0.6467741935483872,1.5,0.0,0.45733566882378046,16,1,14,0.403125,1.5,0.8642857142857142,20.05
 Candidate 320,29,29,2,0.6706451612903226,2.0,0.0,0.513010301936007,19,0,12,0.4605263157894737,0.0,1.0033333333333332,20.79
 Candidate 322,31,31,0,0.6619354838709677,1.5,0.0,0.45892932901728783,16,2,13,0.479375,1.125,0.8153846153846154,20.52
 Candidate 323,31,31,0,0.552258064516129,1.5,0.0,0.4197912947915853,16,0,15,0.4325,0.0,0.6799999999999999,17.12
 Candidate 324,31,31,0,0.5529032258064517,1.5,0.0,0.41888099780555893,17,0,14,0.47058823529411764,0.0,0.6528571428571429,17.14
 Candidate 325,27,27,4,0.8,2.0,0.0,0.5803734429945372,17,3,11,0.4852941176470588,1.25,1.1636363636363638,24.8
 Candidate 326,31,31,0,0.5870967741935483,1.6,0.0,0.41892078446397707,18,0,13,0.4166666666666667,0.0,0.8230769230769232,18.2
 Candidate 327,31,31,0,0.7290322580645162,2.0,0.0,0.49862714753417153,15,2,14,0.45666666666666667,1.125,0.9642857142857143,22.6
 Candidate 328,31,31,0,0.6435483870967742,2.25,0.0,0.4770992097184594,16,1,14,0.46875,2.25,0.7285714285714285,19.95
 Candidate 329,31,31,0,0.6258064516129032,2.25,0.0,0.5289724264618991,17,1,13,0.4264705882352941,2.25,0.7615384615384616,19.4
 Candidate 330,31,31,0,0.6258064516129032,2.25,0.0,0.5367915436091766,17,1,13,0.4852941176470588,2.25,0.6846153846153846,19.4
 Candidate 331,31,31,0,0.6370967741935484,2.25,0.0,0.47098615371287444,18,2,11,0.4722222222222222,1.875,0.6818181818181818,19.75
 Candidate 332,31,31,0,0.5612903225806452,2.25,0.0,0.5289470164738234,17,1,13,0.45588235294117646,2.25,0.5692307692307692,17.4
 Candidate 333,16,16,0,0.46875,1.0,0.0,0.3145764348029479,13,0,3,0.4230769230769231,0.0,0.6666666666666666,7.5
Candidate 301,10,10,1,0.2772727272727273,0.75,0.0,0.284045450908509,4,2,5,0.3125,0.30000000000000004,0.24000000000000005,3.0500000000000003
Candidate 302,1,1,0,0.5,0.5,0.5,,1,0,0,0.5,0.0,0.0,0.5
Candidate 333,15,15,0,0.7666666666666667,1.6,0.0,0.4658581431335182,5,0,10,0.6,0.0,0.85,11.5
Candidate 334,31,31,0,0.7016129032258065,2.25,0.0,0.569427178687457,14,3,14,0.48214285714285715,2.0,0.6428571428571429,21.75
Candidate 335,31,31,0,0.6645161290322581,2.25,0.0,0.5066546404911167,16,3,12,0.46875,1.5,0.7166666666666667,20.6
Candidate 336,31,31,0,0.532258064516129,1.5,0.0,0.34533760947242487,19,1,11,0.5236842105263158,0.75,0.5272727272727272,16.5
Candidate 337,31,31,0,0.7535483870967742,2.25,0.25,0.5411318285907589,15,5,11,0.45666666666666667,1.6019999999999999,0.7727272727272727,23.36
Candidate 338,31,31,0,0.6725806451612903,1.5,0.0,0.4053473221977706,20,0,11,0.5125,0.0,0.9636363636363636,20.85
Candidate 339,31,31,0,0.6387096774193549,1.5,0.0,0.4437923082966015,18,1,12,0.4555555555555555,1.5,0.8416666666666667,19.8
Candidate 340,31,31,0,0.6129032258064516,1.5,0.0,0.4043446842186923,16,0,15,0.40625,0.0,0.8333333333333334,19.0
Candidate 341,31,31,0,0.5790322580645161,1.5,0.0,0.3936525950522845,18,1,12,0.4305555555555556,1.5,0.725,17.95
Candidate 344,30,30,1,0.6387096774193549,2.0,0.0,0.48899721836621163,17,0,14,0.4117647058823529,0.0,0.9142857142857144,19.8
Candidate 345,31,31,0,0.6458064516129032,1.5,0.0,0.4599766239969766,16,3,12,0.40125,1.0,0.8833333333333333,20.02
Candidate 346,31,31,0,0.6838709677419355,2.25,0.0,0.60846625444284,18,3,10,0.4444444444444444,2.0,0.72,21.2
Candidate 347,31,31,0,0.6274193548387097,1.5,0.0,0.4267783791925694,16,1,14,0.515625,1.5,0.6928571428571428,19.45
Candidate 348,31,31,0,0.6112903225806451,1.5,0.0,0.37454632054868614,18,0,13,0.4583333333333333,0.0,0.823076923076923,18.95
Candidate 349,31,31,0,0.6564516129032258,1.5,0.0,0.4598445272560192,15,0,16,0.38333333333333336,0.0,0.9125,20.35
Candidate 350,31,31,0,0.6096774193548387,1.5,0.0,0.43290094225636844,17,2,12,0.4235294117647059,1.5,0.725,18.9
Candidate 351,31,31,0,0.8209677419354838,2.25,0.0,0.6367592681629359,14,3,14,0.44642857142857145,2.0,0.9428571428571428,25.45
Candidate 352,31,31,0,0.5580645161290323,1.5,0.0,0.44405269473219594,16,2,13,0.4375,1.5,0.5615384615384615,17.3
Candidate 353,31,31,0,0.5570967741935484,1.5,0.0,0.45066020864495454,18,1,12,0.4261111111111111,1.5,0.6749999999999999,17.27
Candidate 354,31,31,0,0.6596774193548387,2.25,0.0,0.5099704819625527,17,1,13,0.5,2.25,0.7461538461538461,20.45
Candidate 355,31,31,0,0.5903225806451613,1.5,0.0,0.4089456677112315,16,1,14,0.5,1.5,0.6285714285714287,18.3
Candidate 356,31,31,0,0.5241935483870968,2.25,0.0,0.4797344695665745,18,2,11,0.4277777777777778,1.125,0.5727272727272728,16.25
Candidate 357,31,31,0,0.6338709677419354,1.5,0.0,0.4282497512694731,16,0,15,0.465625,0.0,0.8133333333333332,19.65
Candidate 358,31,31,0,0.6112903225806451,1.5,0.0,0.3567701588369733,18,1,12,0.4833333333333333,0.75,0.7916666666666666,18.95
Candidate 359,30,30,1,0.7354838709677419,2.25,0.0,0.5752091718652003,15,4,12,0.45,1.3125,0.9,22.8
Candidate 360,31,31,0,0.6774193548387096,1.6,0.0,0.4691905635733061,16,0,15,0.41875,0.0,0.9533333333333334,21.0
Candidate 362,31,31,0,0.6261290322580645,2.01,0.0,0.4621304103053944,19,1,11,0.5105263157894736,2.01,0.7000000000000001,19.41
Candidate 364,31,31,0,0.6919354838709677,2.25,0.0,0.5423862052992542,15,3,13,0.45,1.5,0.7846153846153846,21.45
Candidate 365,31,31,0,0.6000000000000001,1.5,0.0,0.36423435679060623,17,0,14,0.47058823529411764,0.0,0.7571428571428571,18.6
Candidate 366,29,29,2,0.6806451612903226,2.0,0.0,0.5091950214725917,16,2,13,0.4375,1.5,0.8538461538461538,21.1
Candidate 368,31,31,0,0.529032258064516,2.25,0.0,0.4648967974271973,21,1,9,0.4880952380952381,2.25,0.43333333333333335,16.4
Candidate 369,30,30,1,0.6435483870967742,2.25,0.0,0.43545798409717845,18,1,12,0.5111111111111111,2.25,0.7083333333333334,19.95
Candidate 370,31,31,0,0.6225806451612903,1.5,0.0,0.4345186435734412,20,1,10,0.43499999999999994,1.5,0.9099999999999999,19.3
Candidate 371,31,31,0,0.6596774193548387,2.25,0.0,0.4712429229952619,18,2,11,0.4833333333333333,1.875,0.7272727272727273,20.45
Candidate 372,31,31,0,0.6193548387096774,1.5,0.0,0.4168687681902701,17,0,14,0.47058823529411764,0.0,0.7999999999999999,19.2
Candidate 373,30,30,1,0.5161290322580645,2.25,0.0,0.4601425679022741,18,1,12,0.3861111111111111,2.25,0.5666666666666667,16.0
Candidate 375,31,31,0,0.5887096774193549,2.25,0.0,0.44920479320301016,19,1,11,0.5105263157894736,2.25,0.5727272727272728,18.25
Candidate 376,29,29,2,0.7480645161290324,2.0,0.0,0.5008487420026044,15,2,14,0.45,1.5,0.9600000000000001,23.19
Candidate 377,31,31,0,0.5387096774193548,1.5,0.0,0.3586339074458695,18,1,12,0.3888888888888889,1.5,0.6833333333333332,16.7
Candidate 378,31,31,0,0.635483870967742,1.5,0.0,0.3849661345250811,17,1,13,0.4676470588235294,0.75,0.8461538461538461,19.7
Candidate 379,31,31,0,0.6141935483870967,1.5,0.0,0.43132952749646364,17,0,14,0.5294117647058824,0.0,0.7171428571428572,19.04
Candidate 380,31,31,0,0.567741935483871,1.5,0.0,0.3365383551931771,18,2,11,0.5138888888888888,1.125,0.5545454545454546,17.6
Candidate 382,30,30,1,0.767741935483871,2.25,0.2,0.5174534418825804,17,2,12,0.5117647058823529,1.5,1.0083333333333333,23.8
Candidate 383,31,31,0,0.6596774193548387,2.25,0.0,0.5140394529019975,16,3,12,0.5,1.75,0.6,20.45
Candidate 385,28,28,3,0.7129032258064517,2.0,0.0,0.5721258226904702,18,1,12,0.4277777777777778,1.5,1.075,22.1
Candidate 386,31,31,0,0.7419354838709677,2.25,0.25,0.5279041538943644,14,2,15,0.4642857142857143,2.25,0.8,23.0
Candidate 387,31,31,0,0.6480645161290323,2.25,0.0,0.5287874138368445,16,1,14,0.375,2.25,0.8457142857142858,20.09
Candidate 390,32,32,0,0.733125,2.01,0.0,0.5646434073106271,17,2,13,0.45588235294117646,1.755,0.9384615384615385,23.46
Candidate 391,31,31,0,0.6112903225806451,2.25,0.0,0.5027772332122439,16,1,14,0.4375,2.25,0.6928571428571428,18.95
Candidate 392,31,31,0,0.5387096774193548,1.5,0.0,0.40757610279540735,17,0,14,0.4117647058823529,0.0,0.6928571428571428,16.7
Candidate 394,31,31,0,0.6048387096774194,1.5,0.0,0.3744673636668661,18,1,12,0.4555555555555555,0.75,0.8166666666666668,18.75
Candidate 395,31,31,0,0.6609677419354839,1.5,0.0,0.3719261112883371,17,2,12,0.5294117647058824,1.125,0.77,20.490000000000002
Candidate 396,31,31,0,0.7722580645161291,1.5,0.0,0.4545232643654914,14,2,15,0.4642857142857143,1.5,0.9626666666666667,23.94
Candidate 397,31,31,0,0.7096774193548387,2.25,0.0,0.45869731392984164,15,1,15,0.5166666666666667,2.25,0.8,22.0
Candidate 398,31,31,0,0.5919354838709678,1.5,0.0,0.4551733688375504,16,2,13,0.453125,1.5,0.6230769230769231,18.35
Candidate 399,31,31,0,0.6838709677419355,2.25,0.0,0.5076723183271853,15,1,15,0.5166666666666667,2.25,0.7466666666666666,21.2
Candidate 400,31,31,0,0.6258064516129032,1.5,0.0,0.45659445312405617,18,3,10,0.44166666666666665,1.25,0.77,19.4
Candidate 401,31,31,0,0.6580645161290322,1.5,0.0,0.39414396147295133,16,1,14,0.484375,0.75,0.85,20.4
Candidate 402,31,31,0,0.732258064516129,2.25,0.0,0.5707521918627462,15,3,13,0.42,1.5,0.9153846153846155,22.7
Candidate 403,31,31,0,0.6335483870967742,1.5,0.0,0.4044630052064652,15,1,15,0.4633333333333333,0.75,0.7959999999999999,19.64
Candidate 404,31,31,0,0.5903225806451613,1.5,0.0,0.3819728076793577,18,0,13,0.4277777777777778,0.0,0.8153846153846154,18.3
Candidate 407,31,31,0,0.6583870967741936,2.25,0.0,0.5552002448017804,17,2,12,0.4088235294117647,2.13,0.7666666666666666,20.41
Candidate 408,31,31,0,0.5645161290322581,1.5,0.0,0.41315726392160024,20,1,10,0.475,1.5,0.65,17.5
Candidate 410,31,31,0,0.6854838709677419,1.5,0.0,0.44892344343386226,16,2,13,0.484375,1.5,0.8076923076923077,21.25
Candidate 411,31,31,0,0.6258064516129032,1.5,0.0,0.4337570302488739,14,2,15,0.4642857142857143,0.75,0.76,19.4
Candidate 412,31,31,0,0.6096774193548387,2.25,0.0,0.44242124625721235,17,1,13,0.4088235294117647,2.25,0.7461538461538461,18.9
Candidate 413,31,31,0,0.5967741935483871,1.5,0.0,0.3167374001363926,16,0,15,0.46875,0.0,0.7333333333333333,18.5
Candidate 414,31,31,0,0.6645161290322581,2.25,0.1,0.4376439855230688,17,2,12,0.5352941176470588,1.5,0.7083333333333334,20.6
Candidate 415,31,31,0,0.6874193548387096,2.01,0.0,0.498203223206056,17,3,11,0.4676470588235294,1.42,0.8272727272727273,21.31
Candidate 416,31,31,0,0.682258064516129,1.5,0.0,0.4627001165436015,14,4,13,0.3892857142857143,1.125,0.8615384615384615,21.15
Candidate 417,31,31,0,0.5790322580645161,1.5,0.0,0.46632860258770087,16,1,14,0.390625,1.5,0.7285714285714285,17.95
Candidate 418,31,31,0,0.6032258064516128,2.25,0.0,0.4400635340249118,19,1,11,0.4447368421052631,2.25,0.7272727272727273,18.7
Candidate 421,31,31,0,0.6225806451612903,1.5,0.0,0.43928705680860886,18,0,13,0.4277777777777778,0.0,0.8923076923076922,19.3
Candidate 422,31,31,0,0.6190322580645161,2.25,0.0,0.5161999279265718,19,2,10,0.42105263157894735,1.875,0.744,19.19
Candidate 423,31,31,0,0.5887096774193549,2.25,0.0,0.4871190267650804,17,2,12,0.3235294117647059,1.875,0.75,18.25
Candidate 424,30,30,1,0.6209677419354839,2.25,0.0,0.4096287330311818,19,1,11,0.5,2.25,0.6818181818181818,19.25
Candidate 425,31,31,0,0.529032258064516,1.5,0.0,0.4910489102503584,17,1,13,0.38235294117647056,1.5,0.6461538461538462,16.4
Candidate 427,31,31,0,0.6048387096774194,1.5,0.0,0.38283043215625673,17,2,12,0.47058823529411764,1.125,0.7083333333333334,18.75
Candidate 429,31,31,0,0.6080645161290323,1.5,0.0,0.41293598660356307,17,1,13,0.5147058823529411,0.0,0.7769230769230769,18.85
Candidate 430,31,31,0,0.5435483870967742,1.5,0.0,0.3436912217586864,18,0,13,0.4583333333333333,0.0,0.6615384615384615,16.85
Candidate 431,31,31,0,0.6393548387096775,2.25,0.25,0.40514964711713597,17,3,11,0.51,1.25,0.6727272727272727,19.82
Candidate 433,31,31,0,0.6506451612903227,1.5,0.0,0.4699428013696345,16,1,14,0.448125,1.5,0.8214285714285714,20.17
Candidate 434,31,31,0,0.7129032258064517,2.25,0.0,0.600550822431025,16,3,12,0.528125,1.75,0.7000000000000001,22.1
Candidate 435,31,31,0,0.5564516129032258,1.5,0.0,0.455108400179538,18,0,13,0.4583333333333333,0.0,0.6923076923076923,17.25
Candidate 436,31,31,0,0.5483870967741935,1.5,0.0,0.37538510691638216,19,0,12,0.4473684210526316,0.0,0.7083333333333334,17.0
Candidate 437,31,31,0,0.5787096774193549,1.5,0.0,0.4154735606147429,18,1,12,0.4166666666666667,1.5,0.745,17.94
Candidate 438,31,31,0,0.6161290322580646,1.5,0.0,0.34746393020815697,17,1,13,0.5,1.5,0.7,19.1
Candidate 439,31,31,0,0.6374193548387096,2.25,0.0,0.5737942008649413,17,4,10,0.4294117647058823,1.815,0.52,19.759999999999998
Candidate 440,31,31,0,0.6000000000000001,1.5,0.0,0.3970726214015097,17,0,14,0.38235294117647056,0.0,0.8642857142857142,18.6
Candidate 441,30,30,1,0.6932258064516128,2.25,0.0,0.5767922046212378,16,2,13,0.45,1.875,0.8107692307692307,21.49
Candidate 443,30,30,1,0.7354838709677419,2.25,0.0,0.613758034351635,18,3,10,0.4861111111111111,1.75,0.8800000000000001,22.8
Candidate 444,31,31,0,0.6967741935483871,2.25,0.0,0.4818256053578874,14,3,14,0.5535714285714286,1.75,0.6142857142857142,21.6
Candidate 445,31,31,0,0.5483870967741935,1.5,0.0,0.432142698454986,18,0,13,0.3888888888888889,0.0,0.7692307692307693,17.0
Candidate 446,31,31,0,0.5983870967741935,1.5,0.0,0.41902344225745924,17,2,12,0.43823529411764706,1.5,0.6749999999999999,18.55
Candidate 449,31,31,0,0.7387096774193548,1.5,0.0,0.48660553453136873,15,3,13,0.4633333333333333,1.25,0.9384615384615385,22.9
Candidate 450,31,31,0,0.6806451612903226,2.25,0.0,0.5924071543787598,16,4,11,0.390625,1.6875,0.7363636363636363,21.1
Candidate 451,31,31,0,0.6080645161290323,2.25,0.0,0.49968269501647217,20,1,10,0.45,2.25,0.76,18.85
Candidate 452,31,31,0,0.6125806451612903,1.5,0.0,0.45680752870281144,15,0,16,0.5166666666666667,0.0,0.7025,18.99
Candidate 453,31,31,0,0.6890322580645161,2.01,0.0,0.475214722265698,16,1,14,0.515625,2.01,0.7928571428571428,21.36
Candidate 454,31,31,0,0.667741935483871,1.5,0.2,0.34846051595954985,15,1,15,0.4966666666666667,0.75,0.8333333333333334,20.7
Candidate 458,31,31,0,0.5887096774193549,1.5,0.0,0.4128578604110933,19,0,12,0.5026315789473684,0.0,0.725,18.25
Candidate 460,28,28,3,0.7758064516129033,2.0,0.0,0.5802113074478319,15,2,14,0.38333333333333336,1.5,1.092857142857143,24.05
Candidate 461,31,31,0,0.6758064516129032,2.25,0.0,0.5441922098765496,15,4,12,0.45,1.5,0.6833333333333332,20.95
Candidate 463,31,31,0,0.5593548387096774,1.5,0.0,0.3847677696470168,19,0,12,0.41578947368421054,0.0,0.7866666666666666,17.34
Candidate 464,30,30,1,0.6854838709677419,2.0,0.0,0.44892344343386226,13,1,17,0.4807692307692308,0.0,0.8823529411764706,21.25
Candidate 465,31,31,0,0.7516129032258064,2.25,0.0,0.60366710900514,17,4,10,0.4411764705882353,1.875,0.8300000000000001,23.3
Candidate 466,31,31,0,0.667741935483871,1.5,0.0,0.475490691653856,15,2,14,0.48333333333333334,1.125,0.7999999999999999,20.7
Candidate 467,31,31,0,0.517741935483871,1.5,0.0,0.39041610005581956,17,0,14,0.5147058823529411,0.0,0.5214285714285715,16.05
Candidate 470,31,31,0,0.6225806451612903,2.25,0.0,0.5339848171495483,17,1,13,0.45588235294117646,2.25,0.7153846153846154,19.3
Candidate 471,31,31,0,0.7129032258064517,1.5,0.0,0.49429541469575383,17,3,11,0.3941176470588235,1.5,0.990909090909091,22.1
Candidate 475,31,31,0,0.635483870967742,1.5,0.0,0.4768286813918071,17,3,11,0.37941176470588234,1.25,0.8636363636363636,19.7
Candidate 480,31,31,0,0.7129032258064517,1.5,0.0,0.4790559713185026,15,3,13,0.5166666666666667,1.25,0.8153846153846154,22.1
Candidate 481,30,30,1,0.5854838709677419,2.0,0.0,0.49903131972303716,15,1,15,0.45,1.5,0.66,18.15
Candidate 482,31,31,0,0.5193548387096775,1.0,0.0,0.3458509841330605,19,0,12,0.5263157894736842,0.0,0.5083333333333333,16.1
Candidate 483,31,31,0,0.5548387096774193,1.5,0.0,0.3622510268468716,17,1,13,0.4852941176470588,0.75,0.6307692307692307,17.2
Candidate 485,31,31,0,0.5758064516129032,1.5,0.0,0.41025824544668116,17,1,13,0.4264705882352941,1.5,0.7,17.85
Candidate 488,31,31,0,0.6451612903225806,1.5,0.0,0.4040121365152449,15,2,14,0.45,1.125,0.7857142857142857,20.0
Candidate 489,29,29,2,0.732258064516129,2.25,0.0,0.5804521782048851,15,1,15,0.45,2.25,0.9133333333333333,22.7
Candidate 491,27,27,4,0.6661290322580645,2.0,0.0,0.5390403659551225,19,0,12,0.4605263157894737,0.0,0.9916666666666667,20.65
